filepath, file no., pop_before_A, push_before_A, sgrow_before_A, sshrink_before_A,pop_in_A, push_in_A, sgrow_in_A, sshrink_in_A,pop_after_A, push_after_A, sgrow_after_A, sshrink_after_Apop_tota, push_total, sgrow_total, sshrink_total
linear_regression_additional/trace_diabetes_only/vpython_diabetes_007.txt,007,2535665,4565463,124,175363,26614,61554,0,1341,189,340,0,18,2562468,4627357,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_008.txt,008,2535665,4565463,124,175363,26614,61554,0,1341,189,340,0,18,2562468,4627357,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_009.txt,009,2535674,4565478,124,175363,26614,61554,0,1341,189,340,0,18,2562477,4627372,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_010.txt,010,2535668,4565468,124,175363,26614,61554,0,1341,189,340,0,18,2562471,4627362,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_011.txt,011,2535662,4565458,124,175363,26614,61554,0,1341,189,340,0,18,2562465,4627352,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_012.txt,012,2535671,4565473,124,175363,26614,61554,0,1341,189,340,0,18,2562474,4627367,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_013.txt,013,2535668,4565468,124,175363,26614,61554,0,1341,189,340,0,18,2562471,4627362,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_014.txt,014,2535662,4565458,124,175363,26614,61554,0,1341,189,340,0,18,2562465,4627352,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_015.txt,015,2535662,4565458,124,175363,26614,61554,0,1341,189,340,0,18,2562465,4627352,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_016.txt,016,2535677,4565483,124,175363,26614,61554,0,1341,189,340,0,18,2562480,4627377,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_017.txt,017,2535656,4565448,124,175363,26614,61554,0,1341,189,340,0,18,2562459,4627342,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_018.txt,018,2535668,4565468,124,175363,26614,61554,0,1341,189,340,0,18,2562471,4627362,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_019.txt,019,2535671,4565473,124,175363,26614,61554,0,1341,189,340,0,18,2562474,4627367,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_020.txt,020,2535671,4565473,124,175363,26614,61554,0,1341,189,340,0,18,2562474,4627367,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_021.txt,021,2535665,4565463,124,175363,26614,61554,0,1341,189,340,0,18,2562468,4627357,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_022.txt,022,2535671,4565473,124,175363,26614,61554,0,1341,189,340,0,18,2562474,4627367,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_023.txt,023,2535659,4565453,124,175363,26614,61554,0,1341,189,340,0,18,2562462,4627347,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_024.txt,024,2535695,4565513,124,175363,26614,61554,0,1341,189,340,0,18,2562498,4627407,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_025.txt,025,2535677,4565483,124,175363,26614,61554,0,1341,189,340,0,18,2562480,4627377,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_026.txt,026,2535674,4565478,124,175363,26614,61554,0,1341,189,340,0,18,2562477,4627372,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_027.txt,027,2535680,4565488,124,175363,26614,61554,0,1341,189,340,0,18,2562483,4627382,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_028.txt,028,2535659,4565453,124,175363,26614,61554,0,1341,189,340,0,18,2562462,4627347,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_029.txt,029,2535674,4565478,124,175363,26614,61554,0,1341,189,340,0,18,2562477,4627372,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_030.txt,030,2535668,4565468,124,175363,26614,61554,0,1341,189,340,0,18,2562471,4627362,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_031.txt,031,2535665,4565463,124,175363,26614,61554,0,1341,189,340,0,18,2562468,4627357,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_032.txt,032,2535656,4565448,124,175363,26614,61554,0,1341,189,340,0,18,2562459,4627342,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_033.txt,033,2535674,4565478,124,175363,26614,61554,0,1341,189,340,0,18,2562477,4627372,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_034.txt,034,2535662,4565458,124,175363,26614,61554,0,1341,189,340,0,18,2562465,4627352,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_035.txt,035,2535671,4565473,124,175363,26614,61554,0,1341,189,340,0,18,2562474,4627367,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_036.txt,036,2535677,4565483,124,175363,26614,61554,0,1341,189,340,0,18,2562480,4627377,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_037.txt,037,2535668,4565468,124,175363,26614,61554,0,1341,189,340,0,18,2562471,4627362,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_038.txt,038,2535674,4565478,124,175363,26614,61554,0,1341,189,340,0,18,2562477,4627372,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_039.txt,039,2535680,4565488,124,175363,26614,61554,0,1341,189,340,0,18,2562483,4627382,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_040.txt,040,2535674,4565478,124,175363,26614,61554,0,1341,189,340,0,18,2562477,4627372,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_041.txt,041,2535671,4565473,124,175363,26614,61554,0,1341,189,340,0,18,2562474,4627367,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_042.txt,042,2535674,4565478,124,175363,26614,61554,0,1341,189,340,0,18,2562477,4627372,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_043.txt,043,2535656,4565448,124,175363,26614,61554,0,1341,189,340,0,18,2562459,4627342,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_044.txt,044,2535662,4565458,124,175363,26614,61554,0,1341,189,340,0,18,2562465,4627352,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_045.txt,045,2535665,4565463,124,175363,26614,61554,0,1341,189,340,0,18,2562468,4627357,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_046.txt,046,2535671,4565473,124,175363,26614,61554,0,1341,189,340,0,18,2562474,4627367,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_047.txt,047,2535662,4565458,124,175363,26614,61554,0,1341,189,340,0,18,2562465,4627352,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_048.txt,048,2535674,4565478,124,175363,26614,61554,0,1341,189,340,0,18,2562477,4627372,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_049.txt,049,2535668,4565468,124,175363,26614,61554,0,1341,189,340,0,18,2562471,4627362,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_050.txt,050,2535677,4565483,124,175363,26614,61554,0,1341,189,340,0,18,2562480,4627377,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_051.txt,051,2535665,4565463,124,175363,26614,61554,0,1341,189,340,0,18,2562468,4627357,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_052.txt,052,2535677,4565483,124,175363,26614,61554,0,1341,189,340,0,18,2562480,4627377,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_053.txt,053,2535674,4565478,124,175363,26614,61554,0,1341,189,340,0,18,2562477,4627372,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_054.txt,054,2535665,4565463,124,175363,26614,61554,0,1341,189,340,0,18,2562468,4627357,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_055.txt,055,2535656,4565448,124,175363,26614,61554,0,1341,189,340,0,18,2562459,4627342,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_056.txt,056,2535671,4565473,124,175363,26614,61554,0,1341,189,340,0,18,2562474,4627367,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_057.txt,057,2535701,4565523,124,175363,26614,61554,0,1341,189,340,0,18,2562504,4627417,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_058.txt,058,2535665,4565463,124,175363,26614,61554,0,1341,189,340,0,18,2562468,4627357,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_059.txt,059,2535677,4565483,124,175363,26614,61554,0,1341,189,340,0,18,2562480,4627377,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_060.txt,060,2535659,4565453,124,175363,26614,61554,0,1341,189,340,0,18,2562462,4627347,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_061.txt,061,2535683,4565493,124,175363,26614,61554,0,1341,189,340,0,18,2562486,4627387,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_062.txt,062,2535671,4565473,124,175363,26614,61554,0,1341,189,340,0,18,2562474,4627367,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_063.txt,063,2535662,4565458,124,175363,26614,61554,0,1341,189,340,0,18,2562465,4627352,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_064.txt,064,2535674,4565478,124,175363,26614,61554,0,1341,189,340,0,18,2562477,4627372,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_065.txt,065,2535680,4565488,124,175363,26614,61554,0,1341,189,340,0,18,2562483,4627382,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_066.txt,066,2535659,4565453,124,175363,26614,61554,0,1341,189,340,0,18,2562462,4627347,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_067.txt,067,2535674,4565478,124,175363,26614,61554,0,1341,189,340,0,18,2562477,4627372,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_068.txt,068,2535665,4565463,124,175363,26614,61554,0,1341,189,340,0,18,2562468,4627357,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_069.txt,069,2535668,4565468,124,175363,26614,61554,0,1341,189,340,0,18,2562471,4627362,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_070.txt,070,2535686,4565498,124,175363,26614,61554,0,1341,189,340,0,18,2562489,4627392,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_071.txt,071,2535677,4565483,124,175363,26614,61554,0,1341,189,340,0,18,2562480,4627377,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_072.txt,072,2535671,4565473,124,175363,26614,61554,0,1341,189,340,0,18,2562474,4627367,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_073.txt,073,2535662,4565458,124,175363,26614,61554,0,1341,189,340,0,18,2562465,4627352,124,176722
linear_regression_additional/trace_diabetes_only/vpython_diabetes_074.txt,074,2535668,4565468,124,175363,26614,61554,0,1341,189,340,0,18,2562471,4627362,124,176722
