timestamp,%cpu_user,%cpu_system
15:33:02,100.0,0.7
15:33:03,98.0,0.8
15:33:03,98.0,0.9
15:33:04,100.0,1.5
15:33:04,100.0,2.1
15:33:05,0,0
15:33:05,0,0
15:33:06,0,0
15:33:06,0,0
15:33:07,217.6,0.2
15:33:07,117.6,0.4
15:33:08,252.9,0.6
15:33:08,98.0,0.8
15:33:09,100.0,0.9
15:33:09,98.0,1.2
15:33:10,100.0,1.8
15:33:10,98.0,2.3
15:33:11,0,0
15:33:11,0,0
15:33:12,0,0
15:33:12,0,0
15:33:13,57.7,0.1
15:33:13,207.8,0.3
15:33:14,98.0,0.4
15:33:15,231.4,0.6
15:33:15,96.1,0.8
15:33:16,98.0,0.8
15:33:16,100.0,0.9
15:33:17,100.0,1.6
15:33:17,98.0,2.2
15:33:18,102.0,2.6
15:33:18,0,0
15:33:19,0,0
15:33:19,0,0
15:33:20,0,0
15:33:20,245.1,0.2
15:33:21,98.0,0.4
15:33:21,260.8,0.6
15:33:22,102.0,0.7
15:33:22,98.0,0.8
15:33:23,98.0,0.9
15:33:23,100.0,1.5
15:33:24,100.0,2.2
15:33:24,100.0,2.8
15:33:25,0,0
15:33:25,0,0
15:33:26,0,0
15:33:26,0,0
15:33:27,54.9,0.2
15:33:27,249.0,0.4
15:33:28,252.0,0.6
15:33:28,94.2,0.8
15:33:29,102.0,0.8
15:33:29,98.0,1.0
15:33:30,98.0,1.7
15:33:30,100.0,2.5
15:33:31,102.0,3.0
15:33:31,0,0
15:33:32,0,0
15:33:32,0,0
15:33:33,0,0
15:33:33,54.9,0.2
15:33:34,242.0,0.3
15:33:34,105.9,0.5
15:33:35,237.3,0.7
15:33:35,100.0,0.8
15:33:36,98.0,0.8
15:33:36,98.0,0.9
15:33:37,100.0,1.5
15:33:37,98.0,1.9
15:33:38,100.0,2.5
15:33:38,102.0,3.1
15:33:39,98.0,3.3
15:33:39,0,0
15:33:40,0,0
15:33:40,0,0
15:33:41,0,0
15:33:42,0,0
15:33:42,0,0
15:33:43,0,0
15:33:43,0,0
15:33:44,0,0
15:33:44,0,0
15:33:45,0,0
15:33:45,0,0
15:33:46,0,0
15:33:46,0,0
15:33:47,0,0
15:33:47,0,0
15:33:48,0,0
15:33:48,0,0
15:33:49,0,0
15:33:49,0,0
15:33:50,0,0
15:33:50,0,0
15:33:51,0,0
15:33:51,0,0
15:33:52,0,0
15:33:52,0,0
15:33:53,0,0
15:33:53,0,0
